order_value,customer_orders,customer_returns,discount_percent,delivery_distance_km,product_category,payment_method,days_since_last_order,returned
3675.07,1,0,19,8.0,Clothing,Debit Card,84,0
2177.89,5,1,42,7.1,Home,COD,83,1
914.54,26,7,6,1.7,Electronics,UPI,48,0
5262.78,14,6,6,7.5,Footwear,UPI,36,0
2075.85,39,5,28,14.3,Electronics,UPI,48,0
1536.79,27,3,59,5.0,Home,UPI,29,0
1628.46,9,3,25,7.6,Clothing,UPI,41,1
2734.24,15,6,40,0.8,Clothing,UPI,88,1
1176.89,15,6,2,18.2,Electronics,Credit Card,73,0
5432.39,26,10,42,22.1,Footwear,UPI,32,1
4363.56,42,9,16,22.0,Clothing,UPI,5,0
1818.81,13,4,39,1.9,Clothing,COD,85,1
1887.72,32,0,19,15.2,Footwear,UPI,17,0
1000.02,39,16,33,15.8,Electronics,UPI,24,0
1157.32,49,5,52,8.0,Books,UPI,82,1
816.66,32,2,51,6.1,Home,Debit Card,86,0
1567.36,4,1,32,15.1,Footwear,Credit Card,6,1
1888.69,30,4,15,8.7,Electronics,Credit Card,28,1
594.04,37,5,59,4.1,Footwear,UPI,20,0
2928.48,23,2,22,13.0,Electronics,Credit Card,80,1
982.78,39,9,3,17.8,Home,UPI,19,0
2412.14,45,3,55,14.3,Clothing,UPI,8,0
3181.4,15,2,40,15.0,Electronics,Credit Card,18,0
4513.99,43,4,39,3.1,Electronics,COD,37,1
3896.9,29,3,32,5.4,Books,UPI,61,1
5765.51,36,7,7,9.7,Home,Debit Card,45,0
3199.8,13,1,4,20.6,Clothing,UPI,38,0
2033.28,32,2,32,4.2,Books,UPI,2,0
1298.71,7,1,56,19.9,Electronics,UPI,55,0
1663.02,22,1,24,1.5,Home,COD,15,0
5656.85,28,2,6,18.2,Footwear,UPI,59,1
1574.21,2,0,46,17.1,Home,Credit Card,75,0
1801.54,42,2,6,27.9,Clothing,UPI,5,1
5081.47,45,12,58,15.7,Clothing,Credit Card,84,1
1535.6,6,1,32,10.3,Footwear,Credit Card,20,0
1036.53,28,4,40,6.1,Clothing,UPI,82,1
3996.72,28,10,32,5.6,Electronics,Debit Card,12,1
1013.07,44,3,28,7.8,Home,Debit Card,57,0
2398.68,44,3,43,5.8,Footwear,UPI,81,0
2122.14,20,4,38,13.0,Clothing,Credit Card,68,1
2255.25,30,4,56,15.4,Clothing,UPI,19,1
332.34,11,2,40,3.9,Clothing,Debit Card,87,1
3122.3,28,6,31,16.0,Home,Debit Card,27,1
1734.29,25,2,36,10.9,Home,UPI,53,0
2783.32,39,2,43,6.5,Home,Debit Card,42,0
2567.16,33,8,28,17.9,Home,UPI,45,1
2255.56,1,0,21,4.5,Home,UPI,78,0
1369.19,27,5,1,2.7,Clothing,Debit Card,68,0
1379.81,13,2,49,4.3,Electronics,UPI,68,0
1740.62,41,2,57,5.4,Home,UPI,24,1
2038.63,3,1,8,17.5,Electronics,UPI,87,1
1343.72,39,6,28,16.9,Books,Debit Card,36,0
3498.38,6,1,32,8.4,Books,UPI,75,0
1437.28,8,1,9,1.2,Footwear,UPI,5,0
910.6,27,7,59,4.7,Clothing,UPI,27,0
2742.61,9,0,27,26.1,Footwear,UPI,37,0
6746.74,37,3,45,14.8,Home,Debit Card,27,1
798.48,33,8,52,1.1,Home,Credit Card,76,1
1656.2,42,13,45,0.6,Electronics,Debit Card,47,1
3807.51,44,4,38,14.3,Home,Credit Card,64,1
2694.28,24,10,11,20.2,Footwear,UPI,6,0
2792.99,15,1,57,3.4,Electronics,Credit Card,76,1
1847.04,32,4,21,4.5,Clothing,Debit Card,56,0
300.0,32,8,53,16.5,Footwear,Credit Card,14,0
2165.7,24,5,5,6.5,Electronics,COD,22,0
2348.28,41,16,44,7.2,Electronics,COD,55,0
3976.22,49,8,39,7.0,Electronics,Debit Card,75,0
1068.83,49,11,22,9.1,Books,COD,52,1
5872.14,12,5,52,10.5,Electronics,Credit Card,56,1
1454.89,39,2,57,27.6,Clothing,UPI,77,0
1289.69,2,0,33,6.1,Clothing,Credit Card,6,1
1091.67,3,0,41,7.2,Home,UPI,20,0
3760.96,49,15,37,3.1,Home,UPI,54,0
839.5,37,5,15,9.0,Home,Credit Card,2,0
2813.96,49,13,9,17.4,Footwear,UPI,75,0
1027.32,17,5,46,4.5,Footwear,UPI,72,1
1753.01,49,5,20,3.9,Clothing,Credit Card,30,0
621.88,2,0,51,16.3,Footwear,UPI,54,0
3133.05,2,0,9,10.5,Electronics,UPI,4,0
1627.78,28,2,10,4.0,Footwear,Debit Card,71,0
2670.98,23,2,20,9.4,Electronics,UPI,47,1
1595.2,37,9,24,3.6,Books,Debit Card,88,0
2616.06,32,4,59,6.3,Footwear,COD,19,0
1750.62,33,6,60,6.8,Footwear,Debit Card,42,0
3036.46,1,0,33,16.1,Footwear,UPI,42,0
2627.14,19,2,53,12.5,Home,Debit Card,51,1
2074.28,2,0,30,16.8,Clothing,UPI,3,0
962.85,44,8,26,6.2,Clothing,Debit Card,82,1
1331.19,26,5,24,11.6,Clothing,Credit Card,37,1
1053.06,32,6,59,1.7,Electronics,Debit Card,22,1
4915.19,6,2,41,3.8,Electronics,Debit Card,33,1
3122.07,32,9,60,2.6,Electronics,Credit Card,49,0
1856.45,4,0,31,14.5,Books,Credit Card,87,0
1219.86,11,2,52,24.5,Home,UPI,54,1
1040.19,17,3,43,7.1,Clothing,Credit Card,62,0
1969.89,38,2,10,12.3,Electronics,Credit Card,35,0
6569.85,24,4,53,12.0,Clothing,Credit Card,29,1
1815.56,5,1,46,22.9,Clothing,Credit Card,66,0
4193.72,34,13,25,6.3,Home,UPI,50,0
2192.87,6,2,59,8.8,Clothing,UPI,14,1
2680.62,22,6,35,3.9,Books,Debit Card,48,0
1295.77,11,3,36,2.9,Electronics,Credit Card,44,1
1575.07,48,15,55,13.4,Clothing,UPI,72,0
1010.74,16,8,59,4.7,Books,UPI,1,1
2237.71,33,5,32,4.9,Electronics,Credit Card,28,1
1524.78,9,3,32,11.4,Clothing,Debit Card,3,1
2326.03,6,1,41,6.7,Clothing,UPI,71,1
907.19,16,2,35,13.6,Footwear,Credit Card,48,0
2487.44,29,0,12,13.8,Clothing,COD,32,1
2034.96,3,1,13,9.4,Books,UPI,9,0
1989.84,20,2,57,8.7,Books,UPI,57,0
2374.55,36,4,50,24.1,Home,COD,83,0
1531.0,19,5,36,7.5,Clothing,UPI,46,0
25970.13,26,11,42,14.2,Books,Credit Card,58,0
2509.68,3,1,57,3.6,Home,Credit Card,56,1
1946.09,19,5,39,8.5,Clothing,UPI,15,0
3039.3,20,5,0,14.3,Electronics,UPI,61,0
1255.29,32,13,4,4.1,Footwear,Credit Card,16,0
1226.53,7,2,29,7.8,Home,Debit Card,46,1
3166.11,41,4,52,8.3,Electronics,UPI,71,1
3369.1,33,13,17,4.3,Footwear,Debit Card,35,1
4163.98,40,11,44,4.9,Books,Credit Card,66,0
666.73,39,2,36,3.6,Clothing,UPI,57,1
1654.95,18,4,55,1.0,Clothing,Debit Card,34,1
2277.29,40,8,57,3.7,Books,UPI,31,0
2993.56,1,0,38,9.4,Electronics,Credit Card,12,1
2613.92,11,3,11,5.1,Books,Credit Card,65,0
996.5,28,13,33,7.9,Home,Credit Card,47,1
2592.38,25,12,44,8.7,Clothing,UPI,65,1
2263.95,23,15,13,7.0,Electronics,Debit Card,1,0
2259.64,31,12,37,14.1,Electronics,Debit Card,79,1
839.24,30,5,15,29.7,Clothing,Credit Card,67,0
939.99,42,3,41,3.8,Home,COD,14,1
6428.92,35,19,60,16.1,Clothing,COD,54,1
3605.73,7,1,58,4.3,Home,Credit Card,10,0
1730.08,16,3,10,10.8,Footwear,UPI,67,0
1750.89,26,2,32,2.6,Footwear,Debit Card,84,0
8569.65,48,24,14,10.2,Books,UPI,50,0
1866.34,49,14,47,6.0,Home,Credit Card,36,0
1666.11,2,1,41,5.9,Books,Credit Card,11,1
1037.55,1,0,9,9.4,Clothing,COD,3,0
1535.23,48,19,2,3.4,Home,COD,88,0
556.69,12,1,10,3.4,Footwear,Debit Card,39,0
2603.35,5,0,10,6.2,Books,Credit Card,10,0
4365.47,37,10,15,15.8,Footwear,Credit Card,90,0
4399.64,32,4,37,6.4,Clothing,UPI,51,1
1105.75,9,2,29,30.1,Clothing,Debit Card,32,1
362.75,41,12,40,35.9,Clothing,Debit Card,52,0
2292.72,35,5,0,7.8,Clothing,Debit Card,72,0
4550.96,19,2,59,23.6,Clothing,UPI,47,1
588.22,48,11,37,3.9,Books,UPI,13,0
1391.97,16,4,49,8.5,Electronics,Credit Card,67,1
2322.01,3,1,56,9.7,Clothing,UPI,53,1
1003.51,20,6,44,12.4,Books,UPI,53,0
539.31,24,7,33,2.2,Clothing,UPI,15,1
1074.27,33,9,59,9.2,Books,COD,53,1
1213.96,24,3,18,19.2,Clothing,Debit Card,85,0
482.84,11,4,59,0.9,Clothing,Credit Card,42,1
3827.94,49,4,33,4.1,Electronics,UPI,29,0
5365.48,8,1,58,19.5,Books,UPI,47,1
1845.84,36,4,35,5.0,Books,UPI,30,0
3012.85,38,4,3,9.0,Home,Credit Card,14,0
641.99,40,2,9,11.0,Electronics,Debit Card,79,0
1637.45,20,2,16,4.1,Books,UPI,59,0
1205.64,35,5,55,2.9,Books,UPI,64,0
2411.71,48,15,15,6.9,Clothing,UPI,44,0
300.0,25,5,20,17.0,Footwear,Debit Card,14,1
1461.4,35,3,27,9.3,Books,COD,25,0
2807.03,25,6,7,3.0,Clothing,Debit Card,44,1
2136.1,29,3,28,14.3,Electronics,Credit Card,61,0
3127.64,18,4,5,3.2,Books,UPI,2,1
1189.32,46,8,29,10.8,Clothing,Debit Card,81,0
300.0,18,3,1,7.2,Books,UPI,79,0
3901.9,2,0,54,5.7,Footwear,UPI,74,1
3076.05,35,13,57,6.7,Electronics,UPI,43,1
5421.51,16,3,46,7.4,Clothing,UPI,9,1
1904.51,41,4,30,7.9,Home,UPI,61,0
2419.62,36,5,24,9.7,Electronics,Debit Card,67,0
9232.39,33,8,22,15.8,Clothing,UPI,24,0
494.87,4,2,42,25.7,Electronics,Debit Card,65,0
2468.32,33,2,20,8.1,Footwear,COD,38,0
4240.42,14,2,15,14.6,Books,Credit Card,70,1
2098.14,21,4,3,8.9,Footwear,UPI,5,1
1893.94,48,3,42,6.3,Footwear,Credit Card,68,1
640.02,20,4,45,10.0,Clothing,Debit Card,67,1
5049.56,8,2,7,2.2,Footwear,UPI,30,0
3820.96,7,2,5,3.6,Footwear,Debit Card,87,0
4437.26,3,1,60,2.8,Home,Debit Card,62,1
1780.97,17,3,52,9.6,Books,COD,7,0
1444.46,33,16,54,1.2,Footwear,Debit Card,51,0
1799.58,48,5,26,2.5,Books,UPI,32,0
5940.37,12,4,50,1.6,Home,Credit Card,74,1
1506.86,22,5,56,8.3,Electronics,UPI,26,1
5101.86,22,1,35,5.6,Footwear,UPI,43,0
1631.14,46,5,59,6.7,Books,Debit Card,62,0
992.19,30,9,35,10.8,Books,COD,31,1
422.39,38,12,23,7.7,Clothing,COD,23,1
2702.39,38,4,5,6.1,Home,UPI,64,0
3095.44,45,5,42,1.2,Clothing,UPI,72,1
808.05,8,1,32,10.9,Electronics,Credit Card,55,0
5083.75,27,7,1,1.1,Books,UPI,16,0
687.48,27,4,40,9.3,Books,UPI,9,1
2968.78,34,13,15,46.9,Footwear,Debit Card,4,0
3072.47,21,3,37,12.2,Electronics,Debit Card,83,1
3832.28,30,15,54,4.7,Home,COD,39,1
455.07,33,6,58,15.4,Clothing,Credit Card,44,1
3815.44,28,6,8,28.5,Electronics,Credit Card,41,0
1633.71,47,9,50,17.1,Electronics,Debit Card,13,0
1424.74,33,5,4,21.0,Electronics,UPI,76,0
3221.19,5,1,52,3.8,Footwear,Debit Card,73,0
3542.12,48,19,9,5.7,Clothing,UPI,12,1
449.42,19,3,29,13.5,Electronics,Debit Card,24,0
733.0,4,1,6,7.5,Books,Debit Card,48,1
4185.78,35,3,28,3.6,Books,UPI,77,0
2521.21,49,14,1,12.3,Electronics,Debit Card,32,0
2053.35,17,3,19,13.5,Clothing,UPI,38,1
906.9,44,10,58,6.4,Footwear,Credit Card,78,1
2458.21,28,3,3,3.1,Electronics,Debit Card,66,0
4243.96,30,3,27,5.5,Electronics,Debit Card,54,0
9159.56,29,1,7,5.9,Clothing,COD,21,0
1411.02,46,8,57,8.9,Books,UPI,31,1
3340.78,6,1,34,2.6,Books,Credit Card,64,0
6623.75,35,3,1,7.1,Home,COD,52,0
655.84,41,13,40,5.2,Footwear,Credit Card,35,1
6370.22,37,8,27,12.4,Home,COD,16,1
2080.68,24,3,10,62.1,Clothing,Credit Card,40,0
1905.32,29,7,35,9.3,Footwear,Debit Card,90,0
1237.43,49,13,8,7.8,Footwear,COD,38,0
1401.47,46,6,37,10.7,Home,Debit Card,57,1
1073.3,31,2,0,13.7,Electronics,COD,3,0
927.86,35,6,26,0.4,Clothing,UPI,37,0
2476.83,33,5,2,7.7,Books,Credit Card,2,0
3939.78,21,6,38,14.9,Clothing,UPI,86,0
868.34,32,12,8,1.7,Clothing,UPI,3,0
1111.41,23,12,39,9.2,Clothing,Credit Card,47,1
2163.41,33,9,27,15.9,Clothing,COD,90,0
828.69,3,0,20,27.9,Electronics,Credit Card,27,0
2144.99,18,0,27,10.0,Clothing,COD,63,0
1497.0,25,6,44,12.4,Footwear,COD,38,1
574.46,42,2,23,11.5,Clothing,UPI,44,0
2515.28,31,6,17,2.2,Footwear,UPI,8,0
1220.83,3,1,50,35.1,Electronics,UPI,23,1
3705.35,40,3,55,10.6,Electronics,Credit Card,6,0
1576.8,46,8,8,6.8,Books,UPI,25,0
1098.92,24,6,25,19.4,Home,Debit Card,59,0
1766.45,32,7,23,4.4,Footwear,UPI,57,0
4312.96,47,10,51,11.7,Electronics,UPI,58,0
6563.48,22,1,60,6.3,Clothing,UPI,16,1
2738.46,23,7,5,4.2,Home,Credit Card,26,0
1197.12,2,0,58,8.3,Electronics,COD,79,0
1849.79,27,4,52,9.2,Home,COD,47,0
1687.68,42,9,11,7.5,Footwear,COD,40,0
1627.55,2,0,35,37.5,Home,UPI,19,0
1513.12,26,15,8,9.2,Footwear,Credit Card,78,0
919.84,17,4,9,6.1,Clothing,Credit Card,44,1
3579.34,40,12,2,9.0,Clothing,UPI,26,0
3302.87,33,12,48,13.6,Footwear,Credit Card,52,0
1837.6,9,1,28,11.2,Home,UPI,37,0
4363.91,43,3,6,23.5,Electronics,UPI,77,0
2734.59,48,8,25,10.0,Clothing,UPI,47,0
827.57,39,17,7,0.8,Clothing,COD,72,1
1410.81,29,3,42,9.3,Footwear,Debit Card,14,1
5096.25,42,5,12,9.3,Electronics,UPI,26,0
1404.65,26,6,34,16.4,Books,COD,47,0
1112.84,35,12,18,1.2,Footwear,COD,13,1
2997.96,25,5,45,12.0,Books,Debit Card,11,0
1486.01,24,2,21,14.8,Home,Debit Card,2,0
2677.26,13,3,15,9.4,Electronics,UPI,30,0
1762.91,7,1,14,14.0,Electronics,Credit Card,24,0
1035.19,36,2,1,3.7,Books,Credit Card,82,0
1113.01,45,6,37,15.5,Footwear,COD,23,1
555.56,20,6,20,3.1,Electronics,Debit Card,70,0
834.12,1,0,29,5.0,Books,UPI,75,0
2806.98,8,1,6,13.1,Clothing,Credit Card,7,0
4205.04,46,23,30,29.9,Clothing,Credit Card,47,1
1179.33,16,3,40,26.4,Footwear,Debit Card,10,0
690.57,14,1,40,10.6,Home,UPI,85,0
4009.76,12,2,48,1.8,Electronics,Debit Card,73,0
4093.68,23,5,54,5.1,Clothing,UPI,30,1
2999.11,15,2,34,6.5,Clothing,UPI,48,1
654.81,28,5,3,0.5,Home,Debit Card,25,1
2593.03,34,6,33,3.1,Home,UPI,89,1
2660.06,2,0,0,15.8,Clothing,Debit Card,24,1
3396.17,32,6,9,25.2,Footwear,UPI,12,1
2009.6,23,3,29,17.6,Clothing,COD,71,1
1069.43,22,4,31,5.4,Footwear,Debit Card,34,0
1362.15,25,3,2,13.5,Books,UPI,3,0
4121.35,22,5,9,8.1,Footwear,Debit Card,6,0
2358.26,22,3,8,3.0,Books,UPI,59,0
723.69,49,18,16,10.3,Home,Debit Card,27,1
5970.15,42,7,46,12.6,Electronics,UPI,83,0
4059.78,6,0,2,3.7,Home,UPI,72,0
5789.2,15,3,26,2.3,Electronics,COD,36,1
3999.88,43,6,52,5.5,Footwear,UPI,61,1
944.0,37,12,34,19.5,Footwear,Credit Card,82,1
2277.89,33,14,3,14.4,Books,UPI,71,0
2758.51,8,1,3,5.8,Clothing,Debit Card,65,0
705.56,44,19,48,3.9,Books,UPI,5,0
795.79,44,14,31,8.1,Books,UPI,42,0
3042.33,5,1,37,2.9,Electronics,UPI,14,1
3215.96,39,7,10,9.5,Books,UPI,65,0
9487.72,4,1,43,7.1,Clothing,COD,12,1
1506.78,6,2,54,0.4,Electronics,COD,83,1
556.65,45,5,59,6.1,Books,COD,2,1
1626.53,32,11,38,0.5,Clothing,UPI,14,0
3263.06,30,7,44,10.0,Footwear,UPI,67,0
1401.27,47,11,5,2.7,Footwear,Credit Card,77,0
1941.51,35,11,54,1.5,Clothing,COD,67,1
1153.47,40,3,34,6.7,Footwear,Credit Card,14,0
4167.9,16,4,52,6.2,Electronics,UPI,34,0
3044.92,13,2,45,10.2,Clothing,Debit Card,45,1
1018.36,42,14,31,2.8,Books,UPI,9,0
1254.7,30,7,45,21.1,Books,COD,10,1
1123.67,19,6,22,13.8,Clothing,COD,8,0
491.89,17,6,41,21.7,Electronics,COD,29,1
1060.62,19,4,36,6.9,Clothing,UPI,61,0
522.69,28,7,25,3.6,Books,Credit Card,54,0
3475.54,26,3,33,25.3,Electronics,Credit Card,39,1
3673.91,37,7,37,13.6,Electronics,UPI,33,0
1466.81,26,7,54,6.5,Books,Credit Card,23,0
2086.59,23,4,10,7.8,Clothing,Credit Card,72,1
3826.48,9,3,49,5.6,Electronics,UPI,40,1
3129.56,12,2,57,16.2,Electronics,UPI,23,1
7356.13,1,0,55,10.8,Books,UPI,59,1
2168.06,1,0,20,11.9,Clothing,COD,50,1
4998.26,47,4,42,3.3,Electronics,Debit Card,64,0
1932.53,34,10,23,7.3,Books,Debit Card,56,1
1662.95,32,4,14,9.3,Home,UPI,43,0
2907.59,48,6,2,1.7,Electronics,Credit Card,84,0
2661.13,25,4,1,10.7,Footwear,UPI,58,1
1181.4,40,1,6,8.7,Clothing,Debit Card,12,0
1015.54,45,17,4,15.2,Footwear,Credit Card,36,0
1905.2,1,0,52,17.1,Clothing,COD,73,1
481.52,16,2,44,29.2,Clothing,UPI,6,1
1457.87,39,2,39,9.1,Footwear,UPI,32,0
909.02,5,0,28,6.1,Footwear,COD,65,1
1207.8,22,3,40,2.8,Clothing,COD,60,1
1048.26,29,8,31,2.3,Electronics,Credit Card,54,1
3094.98,3,1,29,7.7,Books,UPI,24,0
2471.74,12,1,7,2.1,Electronics,Credit Card,29,0
1876.32,26,2,31,2.5,Footwear,Credit Card,8,0
1382.48,16,2,41,8.0,Electronics,Debit Card,13,0
3730.47,37,9,1,5.7,Footwear,Debit Card,63,1
3396.34,22,2,9,3.5,Electronics,UPI,25,0
1672.71,29,6,42,6.1,Clothing,Debit Card,29,0
4667.24,14,4,54,14.1,Footwear,UPI,59,0
1583.38,28,2,42,10.9,Clothing,UPI,61,1
2086.6,5,0,36,16.6,Footwear,UPI,88,0
1209.6,47,11,45,6.9,Electronics,UPI,26,1
1373.0,49,17,54,5.6,Clothing,Debit Card,84,1
1165.71,30,9,2,8.9,Home,Credit Card,68,0
2925.77,46,1,51,2.6,Electronics,Credit Card,22,0
2352.78,5,3,22,6.5,Electronics,Credit Card,7,1
865.31,12,3,33,6.0,Clothing,COD,57,0
2687.9,16,2,17,41.4,Electronics,COD,62,1
6342.74,26,6,32,18.9,Electronics,Debit Card,18,0
1139.05,26,3,32,12.9,Clothing,UPI,10,1
1094.35,48,14,59,11.1,Electronics,UPI,31,1
1818.28,21,3,16,23.8,Books,Credit Card,26,1
4744.61,39,1,5,11.1,Electronics,Credit Card,55,0
